,Purchaser Name
304,DIPAN PRAVINCHANDRA SHAH 
305,DIVI S LABORATORIES LIMITED 
306,DIVIT SECURITY 
307,DIVYASREE HOLDINGS PVT LTD 
308,DIVYASREE NSL INFRASTRUCTURE PRIVATE LIM ITED 
309,DIVYASREE SOFTTECH REALTORS PVT LTD 
310,DIVYESH POWER PRIVATE LIMITED 
311,DIVYESH POWER PVT LTD 
312,DIWAKAR NIGAM 
313,DLF COMMERCIAL DEVELOPERS LIMITED 
314,DLF GARDEN CITY INDORE PVT LTD 
315,DLF LUXURY HOMES LIMITED 
316,DOYEN ENGINEERING SERVICES PRIVATE 
317,DR HEALTHTECH 
318,DR REDDYS LABORATORIES LIMITED 
319,DR. MANDEEP SHARMA 
320,DR.REDDY'S LABORATORIES LTD 
321,DYNAMIC CS BOTTLING PVT LTD 
322,DYNERE ENGINEERING PRIVATE LIMITED 
323,EAGLE INFRA INDIA LTD 
324,ECL FINANCE LTD 
325,EDELWEISS HOUSING FINANCE LTD. 
326,EDELWEISS RURAL CORPORATE SERVICE 
327,EFICENS SOFTWARE SERVICES PVT LTD 
328,ELENA RENEWABLE ENERGY PRIVATE LIMITED 
329,ELENA RENEWABLE ENERGY PVT LTD 
330,ELITE DEVELOPERS 
331,ELLISBRIDGE ESTATES PVT LTD 
332,ENAM HOLDINGS PRIVATE LIMITED 
333,ENVIRO CONTROL PRIVATE LIMITED FORM 
334,ESSEL MINING AND INDS LTD 
335,ESTEE TRANSWAYS PRIVATE LIMITE 
336,EUGIA PHARMA SPECIALITIES LIMITED 
337,EVEREST ENTERPRISE 
338,EVERSHINE INTERIORS CHENNAI PVT LTD 
339,EVEY TRANS PVT LTD 
340,FAIRPLAN VINTRADE PRIVATE LIMITED 
341,FAMY ENERGY PRIVATE LIMITED 
342,FAMY STERI PVT LIMITED 
343,FASTWAY TRANSMISSIONS PVT LTD 
344,FERTILELAND FOODS PRIVATE LIMITED 
345,FINOLEX CABLES LTD 
346,FIOTEX COTSPIN PRIVATE LIMITED 
347,FOR M/S SRI NIDHI CONSTRUCTIONS 
348,FORCE MOTORS LTD 
349,FORTUNE ESTATE DEVELOPERS PVT LTD 
350,FORTUNE METALIKS LIMITED 
351,FRESHBYTE BUILDTECH PVT LTD 
352,FRIGERIO CONSERVA AL 
353,FRIGORIFICO ALLANA P 
354,FUTURE GAMING AND HOTEL SERVICES PR 
355,FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED 
356,FUTURE GAMING AND HOTEL SERVICES PVT LTD 
357,FUTURISTIC HANDLING SERVICES PVT LTD 
358,G CHANDRASHEKHAR 
359,G M HOLDINGS PVT LTD 
360,G R INFRAPROJECTS L 
361,G S ISPAT 
362,GAJA ENGINEERING PVT LTD 
363,GALAXY C.S. BOTTLING PLANT 
364,GANDHAR COALS AND MINES PVT LTD 
365,GANDHI BROTHERS 
366,GANDHI SECURITIES INVESTMENT 
367,GANGADASU BASIVI REDDY 
368,GANGDARI HYDRO POWER PVT LTD 
369,GANGES JUTE PRIVATE LTD 
370,GANNON DUNKERLEY AND CO LIMITED 
371,GAURAV BAHETY 
372,GENEXT HARDWARE PARKS PVT. LTD 
373,GENUS POWER 
374,GENUS POWER INFRASTRUCTURES LIMITED 
375,GENUS POWER INFRASTRUCTURES LTD 
376,GEOJIT INVESTMENT SERVICES LTD 
377,GHCL LTD 
378,GK ENERGY MARKETERS PRIVATE LIMITED 
379,GLENMARK PHARMACEUTICALS LTD 
380,GLOWING FERN HIGHRISE LLP 
381,GOA CARBON LTD 
382,GOLDSTONE CEMENTS LTD 
383,GOODLUCK INDIA LIMITED 
384,GOODLUCK INDIA LTD 
385,GORJA STEEL PROCESSORS 
386,GORUKANTI DEVENDER RAO 
387,GORUKANTI SURENDER RAO 
388,GOURAB ROY 
389,GOURAV KUMAR 
390,GOURAV RAJESH MUNDHRA 
391,GOWREDDY HARIPRASAD REDDY 
392,GPC FOODS PRIVATE LIMITED 
393,GRANULES INDIA LIMITED 
394,GRASIM INDUSTRIES LTD 
395,GRAUER AMP WEIL INDIA LIMITED 
396,GREAT EASTERN STORES PVT LTD 
397,GREENKO ANANTAPUR WIND POWER PRIVATE LIMITED 
398,GREENKO ASTHA PROJECTS (INDIA) PVT LTD 
399,GREENKO BUDHIL HYDRO POWER PVT LTD 
400,GREENKO ENERGY PROJECTS PRIVATE LTD 
401,GREENKO HIM KAILASH HYDRO POWER PVT LTD 
402,GREENKO MP01 IREP PRIVATE LIMITED 
403,GREENKO RAYALA WIND POWER PRIVATE LIMITE D 
404,GREENKO RAYALA WIND POWER PVT LTD 
405,GREENKO SOLAR POWER (DHARAMAVARAM) LTD 
406,GREENKO SRI SAI KRISHNA HYDRO ENERGIES PVT LTD 
407,GREENKO SUMEZ HYDRO ENERGIES PVT LTD 
408,GREENKO URAVAKONDA WIND POWER PRIVA 
409,GRINIBHRIT SOLAR POWER PVT LTD 
410,GUJARAT FLUORO CHEMICALS LIMITED 
411,GUPTA VARUN 
412,GURRAM MOUNIKA 
413,GURRAM RAVI 
414,GUWAHATI CARBON LIMITED 
415,GVPR ENGINEERS LTD 
416,H S ARAVINDA 
417,HALDIA ENERGY LIMITED 
418,HANSVAHINI AUTO INTERIOR PVT LTD 
419,HAPPYTAT VILLAS PRIVATE LIMITED 
420,HARDESH ORES PVT LTD 
421,HARI PRASAD AGARWAL 
422,HARIJAN HIRIBAI 
423,HARINAGAR SUGAR MILLS LTD 
424,HARMESH RAHUL JOSHI 
425,HARSHIT CHHABRA 
426,HARSHIT KOTHARI 
427,HAZELO LAB PRIVATE LTD 
428,HEALTHTECH SOLUTION 
429,HEENA STEEL LLP 
430,HEMANT LAKHOTIA 
431,HERALD BEVERAGES PRIVATE LIMITED 
432,HERO MOTOCORP LIMITED 
433,HES INFRA PVT LTD 
434,HETERO BIOPHARMA LIMITED 
435,HETERO DRUGS LIMITED 
436,HETERO LABS LIMITED 
437,HH IRON AND STEEL PRIVATE LIMITED 
438,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD 
439,HIMADRI KHAN 
440,HIMADRI KHAN COUNTRY SPIRIT BOTTLING PLA NT CUM WARE HOUSE 
441,HIMALAYAN ENDEAVOUR PVT LTD 
442,HIMANGA MERCANTILES PVT LTD 
443,HIMANSHU RAJNIKANT SHAH 
444,HIND TERMINALS PVT LTD 
445,HINDUSTAN TEXTILES 
446,HINDYS LAB PRIVATE LTD 
447,HINDYS LAB PVT. LTD. (PREVIOUSLY HIND LI FE SCIENCES PVT LTD) 
448,HIREHALLI SOLAR POWER PROJECT LLP 
449,HITECH SYSTEMS & SERVICES LTD 
450,HITESH D SHAH 
451,HITESH D SHAH HUF 
452,HONEYWELL PROPERTIES PVT LTD 
453,HONOUR LAB LIMITED 
454,HONOUR LAB LTD 
455,HORIZON MEDICAL SUPPLIES 
456,HUB POWER COMPANY 
457,HUNSANKODILLI SOLAR POWER PROJECT LLP 
458,ICONICA PROJECTS 
459,IDEAL REAL ESTATES PRIVATE LIMITED 
460,IDEAL ROAD BUILDERS PVT.LTD. 
461,IFB AGRO INDUSTRIES LIMITED 
462,ILABS HYD TECHNOLOGY CENTRE PVT LTD 
463,INDER THAKURDAS JAISINGHANI 
464,INDERDEEP CONSTRUCTION CO 
465,INDIA EXPOSITION MART LTD 
466,INDIA GLYCOLS LTD 
467,INDIAN VALVE CALCUTTA PVT LTD 
468,INDRANI PATNAIK 
469,INDURU SUDHAKARA REDDY 
470,INDUS INDUSTRIAL TEC 
471,INDUS ORGANICS 
472,INDUSTRIAL TECHNO MAN POWER SUPPLY AND SERVICES PVT LTD 
473,INFINA FINANCE PRIVATE LIMITED 
474,INFOTELACCESSENTERPRISESPL00108 
475,INFOTELBUSINESSSOLUTIONSLTDBR 
476,INFOTELTECHNOLOGIESPRIVATELIMITE 
477,INFRASTRUCTURE LOGISTICS PVT LTD 
478,INNOCENT MERCHANDISE PVT LTD 
479,INORBIT MALLS INDIA PRIVATE LIMIT 
